Price,Levy,Manufacturer,Category,Leather_Interior,Fuel_Type,Engine_Volume,Mileage,Cylinders,Gear_Box_Type,Drive_Wheels,Doors,Wheel,Color,Airbags,Levy_missing,Is_Turbo,Car_Age
3763,1053.0,MERCEDES-BENZ,Jeep,Yes,Petrol,3.5,94362.0,6.0,Automatic,Rear,4-5,Left wheel,White,12,0,0,12
18189,779.0,TOYOTA,Sedan,No,Petrol,1.8,175000.0,4.0,Automatic,Front,4-5,Left wheel,Silver,8,1,0,14
862,2455.0,LEXUS,Jeep,Yes,Petrol,4.7,263190.0,8.0,Automatic,4x4,4-5,Left wheel,White,0,0,0,18
220,1185.0,FORD,Jeep,Yes,Hybrid,2.5,193614.0,4.0,Automatic,Front,4-5,Left wheel,White,0,0,0,17
5645,1324.0,TOYOTA,Jeep,Yes,Hybrid,3.3,264877.0,6.0,Automatic,4x4,4-5,Left wheel,White,12,0,0,16
7527,830.0,TOYOTA,Sedan,Yes,Petrol,1.5,27656.0,4.0,Automatic,Front,4-5,Left wheel,White,12,0,0,7
21953,1187.0,HONDA,Sedan,No,Hybrid,1.4,16000.0,8.0,Automatic,4x4,4-5,Right-hand drive,White,10,0,0,12
8154,779.0,HONDA,Jeep,No,Petrol,2.0,0.0,4.0,Automatic,4x4,4-5,Right-hand drive,White,2,1,0,28
21953,781.0,TOYOTA,Sedan,No,Petrol,2.5,195053.0,4.0,Automatic,Front,4-5,Left wheel,Black,0,0,0,14
19121,531.0,HYUNDAI,Sedan,Yes,Petrol,1.6,121362.0,4.0,Automatic,Front,4-5,Left wheel,Black,4,0,0,14
36065,639.0,HYUNDAI,Jeep,Yes,Diesel,2.0,69191.0,4.0,Automatic,Front,4-5,Left wheel,White,4,0,0,12
8781,1111.0,HONDA,Hatchback,Yes,Hybrid,1.3,83000.0,4.0,Tiptronic,Front,4-5,Right-hand drive,Green,12,0,0,14
6247,760.0,CHEVROLET,Sedan,Yes,Petrol,1.8,40772.0,4.0,Automatic,Front,4-5,Left wheel,Black,4,0,0,16
16289,642.0,CHEVROLET,Jeep,Yes,Diesel,2.0,172000.0,4.0,Automatic,Front,4-5,Left wheel,Grey,4,0,0,14
2822,779.0,BMW,Sedan,Yes,Petrol,2.0,350000.0,6.0,Manual,Rear,4-5,Left wheel,Blue,2,1,0,31
549,781.0,SUBARU,Jeep,Yes,Petrol,2.5,148213.0,4.0,Automatic,4x4,4-5,Left wheel,Blue,0,0,0,14
6981,1095.0,Other,Sedan,Yes,Petrol,2.0,103246.0,4.0,Automatic,Front,4-5,Left wheel,Black,4,0,0,18
27284,891.0,HYUNDAI,Sedan,No,Petrol,2.0,105394.0,4.0,Tiptronic,Front,4-5,Left wheel,Black,12,0,0,10
32929,779.0,BMW,Coupe,Yes,Petrol,2.0,160000.0,4.0,Automatic,Rear,2-3,Left wheel,Black,12,1,1,13
18817,779.0,NISSAN,Jeep,No,Diesel,2.8,333333.0,4.0,Manual,Rear,4-5,Left wheel,Black,0,1,1,36
4234,779.0,HONDA,Hatchback,Yes,Petrol,1.4,0.0,4.0,Manual,Front,2-3,Left wheel,Blue,6,1,0,29
15053,779.0,MERCEDES-BENZ,Sedan,Yes,Petrol,3.2,214000.0,6.0,Tiptronic,Rear,4-5,Left wheel,Grey,8,1,0,22
15458,966.0,HYUNDAI,Coupe,Yes,Petrol,2.0,123346.0,4.0,Automatic,Front,4-5,Left wheel,Black,4,0,0,17
2901,473.0,CHEVROLET,Sedan,Yes,Petrol,1.4,80827.0,4.0,Automatic,Front,4-5,Left wheel,Green,12,0,0,12
706,1138.0,Other,Coupe,Yes,Petrol,3.8,64464.0,6.0,Automatic,Rear,2-3,Left wheel,Black,12,0,0,13
314,382.0,FORD,Sedan,Yes,Hybrid,2.0,91760.0,4.0,Automatic,Front,4-5,Left wheel,Black,12,0,0,11
15681,1811.0,LEXUS,Jeep,Yes,Petrol,4.6,275240.0,8.0,Automatic,4x4,4-5,Left wheel,Silver,0,0,0,16
26657,779.0,MERCEDES-BENZ,Microbus,No,Diesel,2.2,300000.0,4.0,Manual,Rear,4-5,Left wheel,White,1,1,1,22
10663,988.0,TOYOTA,Hatchback,No,Petrol,1.5,318400.0,4.0,Automatic,Front,4-5,Left wheel,Silver,6,0,0,19
12858,765.0,FORD,Sedan,No,Petrol,2.0,91200.0,4.0,Automatic,Front,4-5,Left wheel,Sky blue,10,0,0,11
1019,917.0,BMW,Jeep,Yes,Diesel,3.0,137802.0,6.0,Automatic,4x4,4-5,Left wheel,Black,12,0,0,13
549,917.0,BMW,Sedan,Yes,Hybrid,3.0,151586.0,6.0,Automatic,Rear,4-5,Left wheel,White,12,0,0,13
12858,779.0,KIA,Hatchback,No,Petrol,1.2,107000.0,4.0,Manual,Front,4-5,Left wheel,Silver,2,1,0,10
15000,779.0,BMW,Sedan,Yes,CNG,3.0,210408.0,6.0,Tiptronic,Rear,4-5,Left wheel,White,12,1,0,18
44752,1091.0,HYUNDAI,Universal,Yes,Diesel,2.5,86000.0,4.0,Automatic,Front,4-5,Left wheel,Grey,4,0,0,10
17158,687.0,HYUNDAI,Sedan,Yes,Petrol,1.6,122740.0,4.0,Automatic,Front,4-5,Left wheel,White,4,0,0,16
12231,779.0,MITSUBISHI,Jeep,No,LPG,2.4,144000.0,4.0,Tiptronic,4x4,4-5,Right-hand drive,White,16,1,0,21
11917,11714.0,MERCEDES-BENZ,Sedan,Yes,Petrol,5.0,150000.0,12.0,Tiptronic,Rear,4-5,Right-hand drive,White,12,0,0,23
1254,779.0,MITSUBISHI,Sedan,No,Petrol,1.3,100000.0,4.0,Manual,Rear,4-5,Left wheel,Red,0,1,0,29
25591,640.0,SSANGYONG,Jeep,Yes,Diesel,2.0,85704.0,4.0,Automatic,Front,4-5,Left wheel,Silver,4,0,0,13
14897,836.0,HYUNDAI,Jeep,Yes,Diesel,2.0,58962.0,4.0,Automatic,Front,4-5,Left wheel,White,4,0,0,16
23521,779.0,TOYOTA,Sedan,Yes,Hybrid,2.5,90000.0,4.0,Tiptronic,Front,4-5,Left wheel,White,12,0,0,13
3450,779.0,Other,Hatchback,No,Petrol,1.2,50000.0,3.0,Manual,Front,2-3,Left wheel,Green,0,1,0,31
706,777.0,Other,Sedan,Yes,Petrol,2.5,0.0,4.0,Automatic,Front,4-5,Left wheel,Red,12,0,0,12
1019,1537.0,TOYOTA,Sedan,Yes,Hybrid,3.3,318358.0,6.0,Automatic,4x4,4-5,Left wheel,Black,12,0,0,17
16935,765.0,FORD,Sedan,Yes,Petrol,2.0,71454.0,4.0,Automatic,Front,4-5,Left wheel,Black,0,0,0,11
19444,781.0,TOYOTA,Sedan,Yes,Petrol,2.5,0.0,4.0,Tiptronic,Front,4-5,Left wheel,Black,6,0,0,14
11604,639.0,HYUNDAI,Sedan,Yes,LPG,2.0,346470.0,4.0,Automatic,Front,4-5,Left wheel,Silver,4,0,0,12
706,394.0,TOYOTA,Sedan,Yes,Hybrid,2.5,115312.0,4.0,Automatic,Front,4-5,Left wheel,Grey,12,0,0,12
9408,779.0,MERCEDES-BENZ,Sedan,No,Diesel,2.2,111111.0,4.0,Manual,Rear,4-5,Left wheel,Silver,4,1,1,27
13328,1347.0,HYUNDAI,Minivan,Yes,Diesel,2.5,74444.0,4.0,Automatic,Front,4-5,Left wheel,Yellow,4,0,0,18
17876,779.0,NISSAN,Minivan,No,Petrol,2.0,143000.0,4.0,Tiptronic,Front,4-5,Right-hand drive,White,12,1,0,14
549,2866.0,NISSAN,Sedan,Yes,Petrol,3.5,299709.0,6.0,Automatic,Front,4-5,Left wheel,Grey,12,0,0,22
20071,779.0,TOYOTA,Jeep,No,Petrol,2.4,135000.0,4.0,Automatic,4x4,4-5,Left wheel,Silver,8,1,0,18
22894,862.0,HYUNDAI,Minivan,Yes,Diesel,2.5,124444.0,4.0,Automatic,Front,4-5,Left wheel,Yellow,4,0,0,15
2901,503.0,HONDA,Sedan,Yes,Hybrid,1.5,146403.0,4.0,Automatic,Front,4-5,Left wheel,White,0,0,0,14
15681,779.0,MITSUBISHI,Jeep,No,Petrol,2.4,142000.0,4.0,Automatic,4x4,2-3,Left wheel,Blue,6,1,0,29
39829,1811.0,LEXUS,Jeep,Yes,Petrol,4.6,155821.0,8.0,Automatic,4x4,4-5,Left wheel,Black,0,0,0,16
706,1646.0,LEXUS,Jeep,Yes,Petrol,4.6,102907.0,8.0,Automatic,4x4,4-5,Left wheel,Black,0,0,0,11
18660,779.0,HYUNDAI,Sedan,Yes,Petrol,2.4,130000.0,4.0,Tiptronic,Front,4-5,Left wheel,Black,6,1,0,13
22580,1017.0,MERCEDES-BENZ,Sedan,Yes,Petrol,2.0,50930.0,4.0,Automatic,Rear,4-5,Left wheel,Black,12,0,0,9
11604,639.0,HYUNDAI,Sedan,Yes,LPG,2.0,264872.0,4.0,Automatic,Front,4-5,Left wheel,Silver,4,0,0,12
314,259.0,CHEVROLET,Hatchback,Yes,Hybrid,1.4,131893.0,4.0,Automatic,Front,4-5,Left wheel,Brown,0,0,0,12
5488,751.0,Other,Jeep,Yes,Petrol,2.4,138958.0,4.0,Automatic,Front,4-5,Left wheel,Black,12,0,0,13
18817,609.0,TOYOTA,Sedan,Yes,Hybrid,2.5,35058.0,4.0,Automatic,Front,4-5,Left wheel,White,12,0,0,8
21169,697.0,HONDA,Jeep,No,Petrol,1.8,33330.0,4.0,Automatic,4x4,4-5,Left wheel,Grey,8,0,0,11
9095,779.0,Other,Coupe,No,Petrol,1.2,141000.0,4.0,Automatic,Front,2-3,Right-hand drive,Red,4,1,0,15
1568,639.0,VOLKSWAGEN,Sedan,Yes,Diesel,2.0,82392.0,4.0,Automatic,Front,4-5,Left wheel,Silver,12,0,0,12
3136,779.0,SUBARU,Goods wagon,No,Petrol,2.0,180000.0,6.0,Tiptronic,4x4,4-5,Right-hand drive,Blue,6,1,1,21
17876,585.0,HYUNDAI,Sedan,Yes,Petrol,1.8,117920.0,4.0,Tiptronic,Front,4-5,Left wheel,Grey,12,0,0,13
11290,891.0,HYUNDAI,Sedan,Yes,LPG,2.0,279787.0,4.0,Automatic,Front,4-5,Left wheel,Silver,4,0,0,10
36065,1399.0,TOYOTA,Minivan,Yes,Petrol,3.5,227200.0,6.0,Tiptronic,Front,4-5,Left wheel,White,16,0,0,16
862,394.0,TOYOTA,Sedan,Yes,Hybrid,2.5,130478.0,4.0,Automatic,Front,4-5,Left wheel,White,12,0,0,12
21395,781.0,HYUNDAI,Universal,Yes,Diesel,2.5,166144.0,4.0,Automatic,Front,4-5,Left wheel,Silver,4,0,0,14
15681,891.0,HYUNDAI,Sedan,Yes,LPG,2.0,258706.0,4.0,Automatic,Front,4-5,Left wheel,Silver,4,0,0,10
627,475.0,CHEVROLET,Jeep,Yes,Hybrid,1.4,188419.0,4.0,Automatic,Front,4-5,Left wheel,Red,0,0,0,14
40070,690.0,TOYOTA,Hatchback,Yes,Petrol,1.5,25807.0,4.0,Automatic,Front,4-5,Left wheel,Black,4,0,0,10
11917,779.0,MERCEDES-BENZ,Hatchback,No,Petrol,1.7,180000.0,4.0,Automatic,Front,4-5,Left wheel,Golden,8,1,0,18
35927,640.0,SSANGYONG,Jeep,Yes,Diesel,2.0,137267.0,4.0,Automatic,Front,4-5,Left wheel,Silver,4,0,0,13
21012,308.0,TOYOTA,Sedan,No,Hybrid,1.8,160000.0,4.0,Automatic,4x4,4-5,Left wheel,White,4,0,0,12
21012,1823.0,TOYOTA,Sedan,Yes,Petrol,3.5,27358.0,6.0,Automatic,Front,4-5,Left wheel,Grey,12,0,0,8
13172,1361.0,KIA,Minivan,Yes,Diesel,2.9,84176.0,4.0,Automatic,Front,4-5,Left wheel,White,6,0,0,17
15624,707.0,HYUNDAI,Coupe,Yes,Petrol,2.0,107005.0,4.0,Automatic,Front,4-5,Left wheel,Grey,4,0,0,15
4547,779.0,OPEL,Sedan,No,Petrol,1.6,15000.0,4.0,Manual,Front,4-5,Left wheel,Beige,2,1,0,29
5488,1273.0,Other,Jeep,Yes,Petrol,3.5,124154.0,6.0,Automatic,4x4,4-5,Left wheel,Black,12,0,0,11
20005,531.0,HYUNDAI,Sedan,Yes,Petrol,1.6,104997.0,4.0,Automatic,Front,4-5,Left wheel,White,4,0,0,14
36110,924.0,VOLKSWAGEN,Sedan,Yes,Petrol,1.8,27728.0,6.0,Tiptronic,Front,4-5,Left wheel,Silver,8,0,0,9
7840,779.0,MERCEDES-BENZ,Sedan,Yes,Petrol,2.4,777777.0,6.0,Manual,Rear,4-5,Left wheel,Blue,4,1,0,28
470,1077.0,Other,Jeep,Yes,Petrol,2.0,11566.0,4.0,Automatic,4x4,4-5,Left wheel,Black,12,0,0,7
1300,779.0,AUDI,Coupe,Yes,Petrol,0.5,4000.0,1.0,Tiptronic,Rear,>5,Right-hand drive,Blue,0,1,0,8
43880,891.0,HYUNDAI,Jeep,Yes,Diesel,2.0,113700.0,4.0,Automatic,Front,4-5,Left wheel,Silver,4,0,0,10
29479,584.0,MERCEDES-BENZ,Sedan,Yes,Petrol,1.8,69000.0,4.0,Tiptronic,Rear,4-5,Left wheel,Grey,8,0,1,12
17249,779.0,TOYOTA,Sedan,Yes,Hybrid,2.5,152000.0,4.0,Variator,Front,4-5,Left wheel,White,12,1,0,15
9408,779.0,TOYOTA,Universal,No,Petrol,1.5,181926.0,4.0,Automatic,4x4,4-5,Right-hand drive,Silver,2,1,0,23
44213,891.0,HYUNDAI,Jeep,Yes,Diesel,2.0,50255.0,4.0,Automatic,Front,4-5,Left wheel,Red,4,0,0,10
8467,2078.0,BMW,Sedan,Yes,Petrol,2.5,252800.0,6.0,Manual,Rear,4-5,Left wheel,Grey,6,0,0,25
627,915.0,AUDI,Sedan,Yes,Petrol,3.0,164488.0,6.0,Automatic,4x4,4-5,Left wheel,Silver,12,0,0,12
21950,831.0,FORD,Goods wagon,No,Diesel,2.4,125000.0,4.0,Manual,4x4,4-5,Left wheel,White,2,0,1,15
706,475.0,Other,Hatchback,Yes,Petrol,1.4,164574.0,4.0,Automatic,Front,4-5,Left wheel,Red,12,0,0,14
3136,473.0,CHEVROLET,Sedan,Yes,Petrol,1.4,156992.0,4.0,Automatic,Front,4-5,Left wheel,Black,12,0,0,12
3450,779.0,OPEL,Sedan,No,CNG,2.0,0.0,4.0,Manual,Front,4-5,Left wheel,White,2,1,0,31
9408,779.0,MITSUBISHI,Jeep,No,Petrol,3.5,11000.0,6.0,Tiptronic,4x4,4-5,Right-hand drive,Silver,4,1,1,28
31500,779.0,NISSAN,Jeep,Yes,LPG,4.0,90200.0,6.0,Tiptronic,4x4,4-5,Left wheel,Black,12,1,0,16
20385,779.0,MITSUBISHI,Minivan,Yes,Petrol,3.0,184000.0,6.0,Automatic,4x4,4-5,Right-hand drive,White,12,1,0,21
314,1053.0,MERCEDES-BENZ,Sedan,Yes,Diesel,3.5,149486.0,6.0,Automatic,4x4,4-5,Left wheel,Silver,12,0,0,12
2300,779.0,VOLKSWAGEN,Sedan,No,CNG,2.0,0.0,4.0,Manual,Front,4-5,Left wheel,Green,0,1,0,30
7840,779.0,MERCEDES-BENZ,Universal,No,LPG,1.9,170000.0,4.0,Tiptronic,Front,4-5,Left wheel,Silver,4,1,0,22
1490,639.0,VOLKSWAGEN,Universal,Yes,Diesel,2.0,113214.0,4.0,Automatic,Front,4-5,Left wheel,Grey,12,0,0,12
627,836.0,TOYOTA,Sedan,Yes,Petrol,2.7,394069.0,4.0,Automatic,Rear,4-5,Left wheel,Black,12,0,0,14
13172,779.0,HONDA,Jeep,No,Petrol,2.4,260000.0,4.0,Automatic,4x4,4-5,Left wheel,Silver,6,1,0,24
19757,779.0,NISSAN,Jeep,No,Diesel,2.8,222222.0,4.0,Manual,Rear,4-5,Left wheel,Black,0,1,1,36
4704,917.0,AUDI,Hatchback,Yes,Petrol,3.0,301707.0,6.0,Automatic,4x4,4-5,Left wheel,Grey,0,0,0,13
706,751.0,HYUNDAI,Sedan,Yes,Petrol,2.4,175827.0,4.0,Automatic,Front,4-5,Left wheel,Black,12,0,0,13
5802,1055.0,MERCEDES-BENZ,Sedan,Yes,Diesel,3.5,107800.0,6.0,Automatic,Rear,4-5,Left wheel,Grey,12,0,0,13
25716,777.0,TOYOTA,Sedan,No,Petrol,2.5,115200.0,4.0,Automatic,Front,4-5,Left wheel,Silver,8,0,0,12
14426,642.0,CHEVROLET,Jeep,Yes,LPG,2.0,132036.0,4.0,Automatic,Front,4-5,Left wheel,White,4,0,0,14
10820,779.0,TOYOTA,Jeep,No,Petrol,2.0,91000.0,4.0,Automatic,4x4,2-3,Right-hand drive,Silver,4,1,0,25
45436,1172.0,FORD,Jeep,Yes,Petrol,3.5,129177.0,4.0,Automatic,Front,4-5,Left wheel,White,4,0,0,15
11917,893.0,HYUNDAI,Hatchback,No,Diesel,1.6,201000.0,4.0,Manual,Front,4-5,Left wheel,Black,8,0,0,18
41281,765.0,HYUNDAI,Jeep,Yes,Diesel,2.0,185811.0,4.0,Automatic,Front,4-5,Left wheel,Black,4,0,0,11
4391,779.0,NISSAN,Sedan,No,Petrol,2.4,358400.0,4.0,Manual,Front,4-5,Left wheel,Brown,2,1,0,28
3058,1872.0,Other,Sedan,Yes,Petrol,3.6,28968.0,6.0,Automatic,4x4,4-5,Left wheel,White,12,0,0,8
3700,779.0,Other,Coupe,Yes,Petrol,1.8,240000.0,4.0,Manual,Front,2-3,Left wheel,Black,4,1,0,25
15681,779.0,Other,Jeep,No,Petrol,1.6,98000.0,4.0,Automatic,4x4,2-3,Left wheel,Black,12,1,0,18
6586,645.0,LEXUS,Hatchback,Yes,Hybrid,1.8,122302.0,4.0,Automatic,Front,4-5,Left wheel,Black,0,0,0,15
